Code: ENZO z=7.9999910231
   Rv= 5.365270657245731 kpc
   Ms/1e8= 3.8433117645550405 Msun
   Mv/1e8= 135.9949334610184 Msun
   Mg/1e8= 32.97865589725828 Msun
   Mgcold/1e8= 27.61697497110594 Msun
   Ms/Mh= 0.028260698150616676 dimensionless
   fb= 0.24249915094602606 dimensionless
   fg= 0.8778360859566307 dimensionless
Code: RAMSES z=8.0684134649
   Rv= 6.872541724866245 kpc
   Ms/1e8= 1.2050635888191292 Msun
   Mv/1e8= 190.99177801826238 Msun
   Mg/1e8= 36.49513991780376 Msun
   Mgcold/1e8= 0.9523052432759624 Msun
   Ms/Mh= 0.006309505054735406 dimensionless
   fb= 0.19108225650590124 dimensionless
   fg= 0.44141976518273307 dimensionless
Code: GADGET-3 z=7.980014086443923
   Rv= 0.4154246090136597 kpc
   Ms/1e8= 0.0 Msun
   Mv/1e8= 0.018078222970270615 Msun
   Mg/1e8= 0.0005956576841140757 Msun
   Mgcold/1e8= 0.0 Msun
   Ms/Mh= 0.0 dimensionless
   fb= 0.032948906819748075 dimensionless
   fg= nan dimensionless
Code: GEAR z=7.934096716057326
   Rv= 6.872541724866245 kpc
   Ms/1e8= 0.05513925879837688 Msun
   Mv/1e8= 161.25448624286986 Msun
   Mg/1e8= 17.895652813889342 Msun
   Mgcold/1e8= 4.413186259147822 Msun
   Ms/Mh= 0.0003419393784513387 dimensionless
   fb= 0.11097770506016309 dimensionless
   fg= 0.9876599727175381 dimensionless
Code: GIZMO z=8.000009014012965
   Rv= 0.6276272668280981 kpc
   Ms/1e8= 0.0 Msun
   Mv/1e8= 0.003946407743637094 Msun
   Mg/1e8= 0.0005655482274556241 Msun
   Mgcold/1e8= 0.0 Msun
   Ms/Mh= 0.0 dimensionless
   fb= 0.143307094500682 dimensionless
   fg= nan dimensionless
